Species,LON,LAT
bias,130.40625,32.479167
bias,130.40625,32.479167
bias,130.55625,32.420833
bias,130.58125,32.420833
bias,130.58125,32.420833
bias,130.65625,32.479167
bias,130.64375,32.4875
bias,130.64375,32.4875
bias,130.96875,32.445833
bias,130.96875,32.454167
bias,130.98125,32.454167
bias,130.98125,32.454167
bias,130.04375,32.504167
bias,130.04375,32.504167
bias,130.04375,32.504167
bias,130.04375,32.504167
bias,130.04375,32.504167
bias,130.10625,32.504167
bias,130.10625,32.504167
bias,130.04375,32.520833
bias,130.01875,32.529167
bias,130.41875,32.5375
bias,130.49375,32.570833
bias,130.49375,32.570833
bias,130.84375,32.5625
bias,130.91875,32.554167
bias,130.91875,32.554167
bias,130.90625,32.579167
bias,130.90625,32.579167
bias,130.91875,32.579167
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.620833
bias,130.15625,32.629167
bias,130.15625,32.629167
bias,130.15625,32.629167
bias,130.53125,32.629167
bias,130.61875,32.629167
bias,130.61875,32.629167
bias,130.81875,32.654167
bias,130.88125,32.654167
bias,130.88125,32.654167
bias,130.88125,32.6625
bias,130.88125,32.6625
bias,130.88125,32.6625
bias,130.88125,32.6625
bias,131.03125,32.0125
bias,131.04375,32.054167
bias,131.04375,32.054167
bias,131.04375,32.054167
bias,131.04375,32.054167
bias,131.08125,32.054167
bias,131.04375,32.0625
bias,131.04375,32.0625
bias,131.01875,32.095833
bias,131.03125,32.095833
bias,131.10625,32.145833
bias,131.19375,32.129167
bias,131.19375,32.1375
bias,131.20625,32.1375
bias,131.20625,32.1375
bias,131.19375,32.195833
bias,131.48125,32.245833
bias,131.10625,32.304167
bias,131.10625,32.304167
bias,131.10625,32.304167
bias,131.06875,32.3125
bias,131.09375,32.3125
bias,131.09375,32.3125
bias,131.10625,32.3125
bias,131.10625,32.3125
bias,131.10625,32.3125
bias,131.10625,32.3125
bias,131.10625,32.3125
bias,131.10625,32.3125
bias,131.11875,32.3125
bias,131.16875,32.295833
bias,131.45625,32.2875
bias,131.45625,32.2875
bias,131.45625,32.2875
bias,131.45625,32.2875
bias,131.46875,32.2875
bias,131.46875,32.2875
bias,131.41875,32.295833
bias,131.43125,32.295833
bias,131.44375,32.295833
bias,131.44375,32.295833
bias,131.21875,32.354167
bias,131.20625,32.3625
bias,131.20625,32.3625
bias,131.20625,32.3625
bias,131.20625,32.3625
bias,131.20625,32.3625
bias,131.16875,32.370833
bias,131.16875,32.370833
bias,131.18125,32.370833
bias,131.19375,32.370833
bias,131.19375,32.370833
bias,131.19375,32.370833
bias,131.13125,32.395833
bias,131.61875,32.3375
bias,131.61875,32.3375
bias,131.61875,32.3375
bias,131.61875,32.3375
bias,131.61875,32.3375
bias,131.61875,32.3375
bias,131.61875,32.354167
bias,131.01875,32.454167
bias,131.00625,32.4625
bias,131.00625,32.470833
bias,131.00625,32.470833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.18125,32.420833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.25625,32.445833
bias,131.34375,32.454167
bias,131.44375,32.4625
bias,131.73125,32.4625
bias,131.73125,32.4625
bias,131.73125,32.4625
bias,131.73125,32.4625
bias,131.01875,32.5375
bias,131.01875,32.5375
bias,131.01875,32.5375
bias,131.03125,32.5375
bias,131.03125,32.5375
bias,131.03125,32.5375
bias,131.03125,32.5375
bias,131.01875,32.545833
bias,131.01875,32.545833
bias,131.01875,32.545833
bias,131.01875,32.545833
bias,131.01875,32.545833
bias,131.01875,32.545833
bias,131.01875,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.03125,32.545833
bias,131.04375,32.545833
bias,131.03125,32.554167
bias,131.03125,32.554167
bias,131.10625,32.5625
bias,131.10625,32.5625
bias,131.10625,32.5625
bias,131.10625,32.5625
bias,131.10625,32.5625
bias,131.10625,32.5625
bias,131.11875,32.5625
bias,131.11875,32.5625
bias,131.11875,32.5625
bias,131.05625,32.570833
bias,131.05625,32.570833
bias,131.11875,32.570833
bias,131.04375,32.579167
bias,131.04375,32.579167
bias,131.24375,32.504167
bias,131.24375,32.504167
bias,131.13125,32.5125
bias,131.13125,32.5125
bias,131.13125,32.5125
bias,131.13125,32.5125
bias,131.24375,32.520833
bias,131.24375,32.520833
bias,131.21875,32.545833
bias,131.21875,32.545833
bias,131.15625,32.5625
bias,131.15625,32.5625
bias,131.15625,32.5625
bias,131.20625,32.5625
bias,131.25625,32.520833
bias,131.25625,32.520833
bias,131.25625,32.520833
bias,131.25625,32.520833
bias,131.25625,32.520833
bias,131.44375,32.504167
bias,131.39375,32.554167
bias,131.65625,32.520833
bias,131.09375,32.5875
bias,131.09375,32.5875
bias,131.03125,32.595833
bias,131.03125,32.595833
bias,131.29375,32.6375
bias,131.40625,32.5875
bias,131.46875,32.645833
bias,131.44375,32.654167
bias,128.70625,32.679167
bias,128.70625,32.679167
bias,128.65625,32.6875
bias,128.69375,32.6875
bias,128.69375,32.6875
bias,128.69375,32.6875
bias,128.69375,32.6875
bias,128.65625,32.695833
bias,128.74375,32.745833
bias,128.99375,32.754167
bias,128.94375,32.829167
bias,128.94375,32.829167
bias,128.94375,32.829167
bias,128.94375,32.829167
bias,128.90625,33.1625
bias,128.90625,33.170833
bias,128.90625,33.170833
bias,129.83125,32.7875
bias,129.88125,32.754167
bias,129.90625,32.754167
bias,129.90625,32.754167
bias,129.90625,32.754167
bias,129.90625,32.754167
bias,129.04375,32.8875
bias,129.99375,33.020833
bias,129.99375,33.020833
bias,129.34375,33.245833
bias,129.40625,33.229167
bias,129.45625,33.245833
bias,129.85625,33.220833
bias,129.81875,33.229167
bias,129.78125,33.2375
bias,129.80625,33.2375
bias,129.80625,33.2375
bias,129.90625,33.170833
bias,129.90625,33.170833
bias,129.90625,33.170833
bias,129.90625,33.170833
bias,129.90625,33.170833
bias,129.90625,33.170833
bias,129.90625,33.2125
bias,129.90625,33.2125
bias,129.90625,33.2125
bias,129.90625,33.2125
bias,129.96875,33.2125
bias,129.90625,33.220833
bias,129.90625,33.220833
bias,129.88125,33.229167
bias,129.81875,33.254167
bias,129.78125,33.295833
bias,129.78125,33.320833
bias,130.29375,32.745833
bias,130.59375,32.704167
bias,130.59375,32.704167
bias,130.59375,32.704167
bias,130.59375,32.704167
bias,130.85625,32.695833
bias,130.29375,32.754167
bias,130.29375,32.754167
bias,130.29375,32.754167
bias,130.29375,32.754167
bias,130.29375,32.754167
bias,130.29375,32.7625
bias,130.29375,32.7625
bias,130.33125,32.770833
bias,130.64375,32.804167
bias,130.64375,32.804167
bias,130.64375,32.804167
bias,130.64375,32.804167
bias,130.66875,32.8125
bias,130.66875,32.8125
bias,130.66875,32.8125
bias,130.66875,32.8125
bias,130.66875,32.8125
bias,130.66875,32.8125
bias,130.68125,32.8125
bias,130.68125,32.8125
bias,130.68125,32.8125
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.73125,32.820833
bias,130.81875,32.820833
bias,130.81875,32.820833
bias,130.81875,32.820833
bias,130.99375,32.795833
bias,130.03125,32.8375
bias,130.03125,32.8375
bias,130.04375,32.8375
