Species,Longitude,Latitude
CEOR,-72.03313,41.332876
CEOR,-72.033686,41.330376
CEOR,-72.030908,41.323154
CEOR,-72.030908,41.317321
CEOR,-72.030908,41.314543
CEOR,-72.028408,41.313432
CEOR,-72.006185,41.336488
CEOR,-72.008685,41.335377
CEOR,-72.015074,41.331765
CEOR,-72.01063,41.330932
CEOR,-72.116465,41.303154
CEOR,-72.112576,41.300376
CEOR,-72.111465,41.303154
CEOR,-70.64144,43.920495
CEOR,-70.70838,43.98871
CEOR,-73.199,41.734
CEOR,-73.199,41.734
CEOR,-73.159,41.746
CEOR,-73.159,41.746
CEOR,-70.239722,43.835556
CEOR,-71.888,41.435
CEOR,-71.887,41.423
CEOR,-71.891,41.435
CEOR,-71.873,41.435
CEOR,-71.987,41.433
CEOR,-71.988,41.426
CEOR,-71.956,41.385
CEOR,-71.989,41.48
CEOR,-71.99,41.481
CEOR,-71.99,41.482
CEOR,-71.896,41.486
CEOR,-71.902,41.472
CEOR,-71.896,41.475
CEOR,-71.895,41.469
CEOR,-71.889,41.473
CEOR,-71.6199,42.5105
CEOR,-71.704237,42.487036
CEOR,-71.123798,43.275626
CEOR,-73.4832,41.6878
CEOR,-73.38812,41.55665
CEOR,-73.332118,41.690623
CEOR,-70.548083,43.336467
CEOR,-70.545883,43.338083
CEOR,-72.66205,41.979133
CEOR,-72.665117,41.9796
CEOR,-72.661133,41.979083
CEOR,-72.666204,41.666766
CEOR,-71.3225,41.5819
CEOR,-71.326944,41.579722
CEOR,-71.325556,41.621944
CEOR,-71.314167,41.588056
CEOR,-71.326389,41.581111
CEOR,-71.326667,41.581389
CEOR,-71.321667,41.593333
CEOR,-71.3266,41.5944
CEOR,-71.346111,41.643611
CEOR,-71.344722,41.641944
CEOR,-71.3247,41.5873
CEOR,-71.3046,41.6084
CEOR,-71.3069,41.6037
CEOR,-71.3576,41.6605
CEOR,-71.3572,41.6604
CEOR,-71.3555,41.6543
CEOR,-72.634814,41.692322
CEOR,-71.839671,41.329467
CEOR,-71.838311,41.330407
CEOR,-71.836342,41.329494
CEOR,-71.3549,41.4658
CEOR,-71.191417,41.537748
CEOR,-71.747186,41.785785
CEOR,-71.257286,41.58736
CEOR,-71.537416,41.769381
CEOR,-71.597572,41.503496
CEOR,-71.597225,41.503117
CEOR,-71.208473,41.558261
CEOR,-71.171987,41.566479
CEOR,-71.172653,41.566672
CEOR,-71.270822,41.525197
